id,title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,numberTags
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"['comedy', 'european']",4.0,8.8,72895.0,12.919,8.3,2
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,43,['comedy'],1.0,8.1,2144.0,1.49,7.0,1
ts20681,Seinfeld,SHOW,1989,24,['comedy'],9.0,8.9,302700.0,128.743,8.3,1
ts22082,Knight Rider,SHOW,1982,51,"['action', 'scifi', 'crime', 'drama']",4.0,6.9,33760.0,44.378,7.5,4
ts21715,Thomas & Friends,SHOW,1984,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",24.0,6.5,4948.0,49.384,6.6,7
ts20678,Saved by the Bell,SHOW,1989,23,"['comedy', 'romance', 'family']",5.0,7.1,34854.0,16.945,8.0,3
ts25028,Wheel of Fortune,SHOW,1983,26,['family'],39.0,6.7,3126.0,1440.855,6.7,1
ts23753,Major Dad,SHOW,1989,24,"['comedy', 'family']",4.0,6.4,2866.0,7.506,6.3,2
ts2760,Fireman Sam,SHOW,1987,10,"['comedy', 'animation', 'family', 'crime', 'european']",13.0,6.1,1759.0,25.697,7.3,5
ts987,Danger Mouse,SHOW,1981,15,"['comedy', 'family', 'scifi', 'animation', 'european']",10.0,7.4,3514.0,7.748,7.4,5
ts20981,Survivor,SHOW,2000,48,['reality'],42.0,7.4,24368.0,73.107,7.3,1
ts22176,Stargate SG-1,SHOW,1997,44,"['scifi', 'drama', 'action']",10.0,8.4,90196.0,167.57,8.2,3
ts21223,Pokémon,SHOW,1997,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",24.0,7.6,172.0,138.135,7.6,6
ts20339,One Piece,SHOW,1999,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",21.0,8.8,112586.0,105.955,8.8,5
ts34435,Cowboy Bebop,SHOW,1998,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",1.0,8.9,112887.0,34.769,8.5,7
ts20927,Star Trek: Deep Space Nine,SHOW,1993,47,"['scifi', 'action', 'drama']",7.0,8.1,61145.0,61.159,7.9,3
ts5145,The Challenge,SHOW,1998,40,"['reality', 'comedy', 'drama', 'scifi']",37.0,7.8,3274.0,15.699,7.6,4
ts21567,Gilmore Girls,SHOW,2000,46,"['comedy', 'drama']",8.0,8.2,119054.0,51.125,7.8,2
ts20983,Neon Genesis Evangelion,SHOW,1995,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",1.0,8.5,64727.0,51.993,8.6,6
ts22193,The Magic School Bus,SHOW,1994,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",4.0,7.8,9708.0,30.176,7.9,5
ts20960,Power Rangers,SHOW,1993,22,"['scifi', 'action', 'fantasy', 'family']",29.0,6.5,21949.0,21.083,6.7,4
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",4.0,6.2,3808.0,23.374,6.2,7
ts22489,Goosebumps,SHOW,1995,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",4.0,7.6,13361.0,88.924,8.0,6
ts25252,Yu-Gi-Oh!,SHOW,1998,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.0,7.2,20888.0,75.438,7.3,7
ts21034,InuYasha,SHOW,2000,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",9.0,7.9,15823.0,149.742,8.6,7
ts8570,Barney & Friends,SHOW,1992,28,['family'],14.0,3.8,9955.0,46.955,5.0,1
ts20939,Moesha,SHOW,1996,21,"['drama', 'comedy', 'family']",6.0,5.7,3713.0,7.483,7.3,3
ts21693,"Sister, Sister",SHOW,1994,22,"['comedy', 'drama', 'family']",6.0,6.2,12535.0,12.029,7.6,3
ts22286,Cardcaptor Sakura,SHOW,1998,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",4.0,8.0,4936.0,53.714,8.7,8
ts21581,Girlfriends,SHOW,2000,21,"['comedy', 'drama']",8.0,7.2,4482.0,17.929,7.6,2
ts20918,The Parkers,SHOW,1999,19,['comedy'],5.0,6.8,2346.0,9.733,8.0,1
ts18465,Dale's Supermarket Sweep,SHOW,1993,21,[],8.0,7.1,39.0,0.947,8.3,0
ts22080,Oggy and the Cockroaches,SHOW,1999,9,"['comedy', 'family', 'action', 'animation', 'european']",7.0,7.4,4185.0,26.074,7.5,5
ts22039,H,SHOW,1998,25,['comedy'],4.0,7.4,1703.0,11.362,7.6,1
ts21684,Heartbreak High,SHOW,1994,47,"['drama', 'romance', 'comedy']",7.0,7.8,3106.0,16.211,7.3,3
ts28516,Okupas,SHOW,2000,40,"['crime', 'drama']",1.0,9.0,2326.0,6.971,8.8,2
ts4,Breaking Bad,SHOW,2008,48,"['drama', 'thriller', 'crime']",5.0,9.5,1727694.0,337.419,8.8,3
ts9,The Walking Dead,SHOW,2010,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",11.0,8.2,945125.0,773.19,8.1,5
ts26091,The Staircase,SHOW,2004,49,"['crime', 'documentation', 'drama']",2.0,7.8,21531.0,14.185,7.7,3
ts11,Downton Abbey,SHOW,2010,58,"['drama', 'romance', 'european']",6.0,8.7,197744.0,57.029,8.1,3
ts21469,Grey's Anatomy,SHOW,2005,49,"['drama', 'romance']",18.0,7.6,293618.0,1215.393,8.3,2
