"";"id";"title";"type";"release_year";"runtime";"genres";"production_countries";"seasons";"imdb_score";"imdb_votes";"tmdb_popularity";"tmdb_score"
"0";"ts300399";"Five Came Back: The Reference Films";"SHOW";"1945";"48";['documentation'];['US'];"1.0";"nan";"nan";"0.6";""
"1";"tm84618";"Taxi Driver";"MOVIE";"1976";"113";['crime', 'drama'];['US'];"";"8.3";"795222.0";"27.612";"8.2"
"2";"tm127384";"Monty Python and the Holy Grail";"MOVIE";"1975";"91";['comedy', 'fantasy'];['GB'];"";"8.2";"530877.0";"18.216";"7.8"
"3";"tm70993";"Life of Brian";"MOVIE";"1979";"94";['comedy'];['GB'];"";"8.0";"392419.0";"17.505";"7.8"
"4";"tm190788";"The Exorcist";"MOVIE";"1973";"133";['horror'];['US'];"";"8.1";"391942.0";"95.337";"7.7"
"5";"ts22164";"Monty Python's Flying Circus";"SHOW";"1969";"30";['comedy', 'european'];['GB'];"4.0";"8.8";"72895.0";"12.919";"8.3"
"6";"tm14873";"Dirty Harry";"MOVIE";"1971";"102";['thriller', 'crime', 'action'];['US'];"";"7.7";"153463.0";"14.745";"7.5"
"7";"tm185072";"My Fair Lady";"MOVIE";"1964";"170";['drama', 'music', 'romance', 'family'];['US'];"";"7.8";"94121.0";"15.949";"7.6"
"8";"tm98978";"The Blue Lagoon";"MOVIE";"1980";"104";['romance', 'drama'];['US'];"";"5.8";"69053.0";"44.038";"6.2"
"9";"tm119281";"Bonnie and Clyde";"MOVIE";"1967";"110";['drama', 'crime', 'action'];['US'];"";"7.7";"111189.0";"15.309";"7.5"
"10";"tm67378";"The Professionals";"MOVIE";"1966";"117";['western', 'action', 'european'];['US'];"";"7.3";"16168.0";"12.155";"7.1"
"11";"tm44204";"The Guns of Navarone";"MOVIE";"1961";"158";['war', 'action', 'drama'];['US', 'GB'];"";"7.5";"50150.0";"15.405";"7.4"
"12";"tm69778";"Lupin the Third: The Castle of Cagliostro";"MOVIE";"1979";"100";['comedy', 'animation', 'action', 'fantasy', 'family'];['JP'];"";"7.6";"30277.0";"14.008";"7.5"
"13";"tm69997";"Richard Pryor: Live in Concert";"MOVIE";"1979";"78";['comedy', 'documentation'];['US'];"";"8.1";"5141.0";"4.681";"7.5"
"14";"tm96649";"The Long Riders";"MOVIE";"1980";"99";['western', 'crime'];['US'];"";"6.9";"11329.0";"8.808";"6.6"
"15";"tm16479";"White Christmas";"MOVIE";"1954";"115";['romance', 'comedy', 'music'];['US'];"";"7.5";"42373.0";"9.71";"7.2"
"16";"tm135083";"Cairo Station";"MOVIE";"1958";"77";['drama', 'crime', 'comedy'];['EG'];"";"7.5";"4385.0";"3.556";"7.4"
"17";"tm14491";"The Queen";"MOVIE";"1968";"68";['documentation'];['US'];"";"7.2";"1117.0";"2.419";"6.5"
"18";"tm89386";"Hitler: A Career";"MOVIE";"1977";"150";['documentation', 'history', 'european'];['DE'];"";"7.5";"2416.0";"9.305";"7.4"
"19";"tm156453";"FTA";"MOVIE";"1972";"97";['comedy', 'documentation', 'music'];['US'];"";"6.2";"411.0";"2.466";"6.1"
"20";"tm27298";"Saladin the Victorious";"MOVIE";"1963";"186";['drama', 'war', 'action', 'history', 'romance'];['EG'];"";"7.6";"2470.0";"4.816";"7.1"
"21";"tm356209";"Singapore";"MOVIE";"1960";"158";['drama', 'thriller', 'crime'];['IN'];"";"6.4";"82.0";"1.611";"6.3"
"22";"tm204541";"Dark Waters";"MOVIE";"1956";"120";['drama', 'action', 'romance', 'thriller'];['EG'];"";"6.7";"590.0";"1.044";"5.9"
"23";"tm14350";"Alexandria… Why?";"MOVIE";"1979";"133";['drama'];['EG'];"";"7.2";"1689.0";"1.736";"6.0"
"24";"tm102287";"Raya and Sakina";"MOVIE";"1953";"105";['drama', 'thriller', 'crime', 'history'];['EG'];"";"6.8";"231.0";"1.826";"5.8"
"25";"tm76557";"No Longer Kids";"MOVIE";"1979";"235";['comedy', 'drama'];['EG'];"";"9.0";"943.0";"2.733";"7.7"
"26";"tm71909";"Amrapali";"MOVIE";"1966";"120";['fantasy'];['IN'];"";"6.7";"225.0";"2.047";"6.3"
"27";"tm94651";"Dostana";"MOVIE";"1980";"161";['drama', 'comedy', 'romance', 'action', 'crime'];['IN'];"";"2.1";"25.0";"3.46";"4.9"
"28";"tm19608";"The Blazing Sun";"MOVIE";"1954";"100";['romance', 'crime', 'drama'];['EG'];"";"7.4";"1219.0";"1.866";"7.0"
"29";"ts45948";"Monty Python's Fliegender Zirkus";"SHOW";"1972";"43";['comedy'];[];"1.0";"8.1";"2144.0";"1.49";"7.0"
"30";"tm90896";"The Return of the Prodigal Son";"MOVIE";"1976";"124";['drama', 'crime'];['DZ', 'EG'];"";"7.2";"768.0";"3.768";"5.4"
"31";"tm75975";"Prince";"MOVIE";"1969";"152";['romance'];['IN'];"";"6.9";"168.0";"1.788";"7.0"
