id,title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,numberTags
tm84618,Taxi Driver,MOVIE,1976,113,"['crime', 'drama']",0.0,8.3,795222.0,27.612,8.2,2
tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"['comedy', 'fantasy']",0.0,8.2,530877.0,18.216,7.8,2
tm70993,Life of Brian,MOVIE,1979,94,['comedy'],0.0,8.0,392419.0,17.505,7.8,1
tm190788,The Exorcist,MOVIE,1973,133,['horror'],0.0,8.1,391942.0,95.337,7.7,1
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"['comedy', 'european']",4.0,8.8,72895.0,12.919,8.3,2
tm14873,Dirty Harry,MOVIE,1971,102,"['thriller', 'crime', 'action']",0.0,7.7,153463.0,14.745,7.5,3
tm185072,My Fair Lady,MOVIE,1964,170,"['drama', 'music', 'romance', 'family']",0.0,7.8,94121.0,15.949,7.6,4
tm98978,The Blue Lagoon,MOVIE,1980,104,"['romance', 'drama']",0.0,5.8,69053.0,44.038,6.2,2
tm119281,Bonnie and Clyde,MOVIE,1967,110,"['drama', 'crime', 'action']",0.0,7.7,111189.0,15.309,7.5,3
tm67378,The Professionals,MOVIE,1966,117,"['western', 'action', 'european']",0.0,7.3,16168.0,12.155,7.1,3
tm44204,The Guns of Navarone,MOVIE,1961,158,"['war', 'action', 'drama']",0.0,7.5,50150.0,15.405,7.4,3
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",0.0,7.6,30277.0,14.008,7.5,5
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"['comedy', 'documentation']",0.0,8.1,5141.0,4.681,7.5,2
tm96649,The Long Riders,MOVIE,1980,99,"['western', 'crime']",0.0,6.9,11329.0,8.808,6.6,2
tm16479,White Christmas,MOVIE,1954,115,"['romance', 'comedy', 'music']",0.0,7.5,42373.0,9.71,7.2,3
tm135083,Cairo Station,MOVIE,1958,77,"['drama', 'crime', 'comedy']",0.0,7.5,4385.0,3.556,7.4,3
tm14491,The Queen,MOVIE,1968,68,['documentation'],0.0,7.2,1117.0,2.419,6.5,1
tm89386,Hitler: A Career,MOVIE,1977,150,"['documentation', 'history', 'european']",0.0,7.5,2416.0,9.305,7.4,3
tm156453,FTA,MOVIE,1972,97,"['comedy', 'documentation', 'music']",0.0,6.2,411.0,2.466,6.1,3
tm27298,Saladin the Victorious,MOVIE,1963,186,"['drama', 'war', 'action', 'history', 'romance']",0.0,7.6,2470.0,4.816,7.1,5
tm356209,Singapore,MOVIE,1960,158,"['drama', 'thriller', 'crime']",0.0,6.4,82.0,1.611,6.3,3
tm204541,Dark Waters,MOVIE,1956,120,"['drama', 'action', 'romance', 'thriller']",0.0,6.7,590.0,1.044,5.9,4
tm14350,Alexandria… Why?,MOVIE,1979,133,['drama'],0.0,7.2,1689.0,1.736,6.0,1
tm102287,Raya and Sakina,MOVIE,1953,105,"['drama', 'thriller', 'crime', 'history']",0.0,6.8,231.0,1.826,5.8,4
tm76557,No Longer Kids,MOVIE,1979,235,"['comedy', 'drama']",0.0,9.0,943.0,2.733,7.7,2
tm71909,Amrapali,MOVIE,1966,120,['fantasy'],0.0,6.7,225.0,2.047,6.3,1
tm94651,Dostana,MOVIE,1980,161,"['drama', 'comedy', 'romance', 'action', 'crime']",0.0,2.1,25.0,3.46,4.9,5
tm19608,The Blazing Sun,MOVIE,1954,100,"['romance', 'crime', 'drama']",0.0,7.4,1219.0,1.866,7.0,3
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,43,['comedy'],1.0,8.1,2144.0,1.49,7.0,1
tm90896,The Return of the Prodigal Son,MOVIE,1976,124,"['drama', 'crime']",0.0,7.2,768.0,3.768,5.4,2
tm75975,Prince,MOVIE,1969,152,['romance'],0.0,6.9,168.0,1.788,7.0,1
tm107372,Manoranjan,MOVIE,1974,162,"['comedy', 'drama', 'romance']",0.0,6.5,236.0,1.22,5.3,3
tm200475,"Beirut, Oh Beirut",MOVIE,1975,110,['drama'],0.0,6.5,106.0,1.104,7.3,1
tm259855,We Are All for the Fatherland,MOVIE,1979,74,['documentation'],0.0,6.2,43.0,0.6,5.3,1
tm259684,Whispers,MOVIE,1980,93,['documentation'],0.0,7.8,75.0,1.4,5.0,1
tm344089,Lal Patthar,MOVIE,1971,153,['drama'],0.0,6.2,137.0,0.732,7.0,1
tm358653,Ujala,MOVIE,1959,142,"['romance', 'crime', 'drama']",0.0,6.7,78.0,0.998,6.0,3
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,138,"['drama', 'action', 'romance', 'family', 'fantasy']",0.0,6.2,555.0,2.554,6.8,5
tm10204,Professor,MOVIE,1962,163,"['romance', 'comedy', 'drama']",0.0,6.8,285.0,1.9,5.8,3
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,135,['romance'],0.0,4.6,14.0,1.24,6.0,1
tm16812,Bandie,MOVIE,1978,141,"['drama', 'romance', 'action']",0.0,4.2,35.0,1.097,6.0,3
tm336403,Khoon Khoon,MOVIE,1973,131,"['drama', 'crime', 'thriller']",0.0,5.1,41.0,1.08,3.8,3
tm119776,Top Gun,MOVIE,1986,110,"['drama', 'action']",0.0,6.9,329656.0,112.137,7.0,2
ts20681,Seinfeld,SHOW,1989,24,['comedy'],9.0,8.9,302700.0,128.743,8.3,1
tm111075,Stand by Me,MOVIE,1986,89,['drama'],0.0,8.1,392790.0,16.096,7.9,1
tm180542,Once Upon a Time in America,MOVIE,1984,229,"['drama', 'crime', 'european']",0.0,8.3,342335.0,21.322,8.4,3
tm138875,When Harry Met Sally...,MOVIE,1989,96,"['romance', 'comedy', 'drama']",0.0,7.7,212913.0,16.005,7.4,3
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,93,"['scifi', 'action', 'comedy', 'family']",0.0,6.7,92647.0,22.75,6.6,4
tm22327,Full Metal Jacket,MOVIE,1987,116,"['drama', 'war']",0.0,8.3,723306.0,36.502,8.1,2
tm54450,Christine,MOVIE,1983,90,"['horror', 'thriller', 'european']",0.0,6.7,80945.0,19.311,6.8,3
